first_name,year_symposium,location_symposium,final_gender,invited
Jairo,2025,Belfast,male,No
Jake,2024,Bilbao,male,No
Jakov,1999,St Andrews,male,No
James,2018,UEA,male,No
James,2015,Plymouth,male,No
James,2018,UEA,male,No
James,2015,Plymouth,male,No
James,2025,Belfast,male,No
James,1990,Lancaster,male,No
James,1993,Conwy,male,No
James,2025,Belfast,male,No
James,1987,Plymouth,male,No
James,2016,Bangor,male,No
James,2014,Hull,male,No
Jamie,2017,Exeter,female,No
Jan,1987,Plymouth,female,No
Jan,1999,St Andrews,female,Yes
Jan,1987,Plymouth,female,No
Jan,2014,Hull,female,No
Jane,2017,Exeter,female,No
Jane,2017,Exeter,female,No
Jane,2016,Bangor,female,No
Jane,2015,Plymouth,female,No
Janos,1999,St Andrews,male,No
Jasmien,2016,Bangor,female,No
Jason,2014,Hull,male,No
Jayson,2015,Plymouth,male,No
Jean,2021,Leuven,female,No
Jean,2018,UEA,female,No
Jean,1999,St Andrews,female,No
Jeffrey,2014,Hull,male,Yes
Jen,2018,UEA,female,No
Jen,2017,Exeter,female,No
Jenni,2017,Exeter,female,No
Jennifer,2016,Bangor,female,Yes
Jennifer,2017,Exeter,female,No
Jenny,2012,UEA,female,Yes
Jens,1993,Conwy,male,No
Jeremy,2015,Plymouth,male,No
Jeremy,2021,Leuven,male,No
Jessica,2012,UEA,female,No
Jessica,2018,UEA,female,No
Jessica,2017,Exeter,female,No
Jessica,2022,Nottingham,female,No
Jessica,2019,Hull,female,No
Jessica,2025,Belfast,female,No
Jessie,2022,Nottingham,female,No
Jian,1999,St Andrews,male,No
Jim,2025,Belfast,male,No
Jim,2015,Plymouth,male,No
Jin-Koo,2016,Bangor,male,No
Jingyao,2024,Bilbao,female,No
Joachim,2009,Leicester,male,No
Joacim,2012,UEA,male,No
Joacim,2014,Hull,male,No
Joana,2015,Plymouth,female,No
Joana,2017,Exeter,female,No
Joana,2018,UEA,female,No
Joana,2025,Belfast,female,No
Joanna,2018,UEA,female,No
Joanna,2023,Essex,female,No
Joanna,2017,Exeter,female,Yes
Joanna,2017,Exeter,female,No
Joanna,2015,Plymouth,female,No
Joanne,1999,St Andrews,female,No
Joanne,1999,St Andrews,female,No
Joanne,1999,St Andrews,female,No
